
正在 Ping 172.16.66.1 具有 32 字节的数据:
来自 172.16.66.1 的回复: 字节=32 时间=285ms TTL=64
来自 172.16.66.1 的回复: 字节=32 时间=4ms TTL=64
来自 172.16.66.1 的回复: 字节=32 时间=5ms TTL=64
来自 172.16.66.1 的回复: 字节=32 时间=3ms TTL=64
来自 172.16.66.1 的回复: 字节=32 时间=2ms TTL=64
来自 172.16.66.1 的回复: 字节=32 时间=2ms TTL=64
来自 172.16.66.1 的回复: 字节=32 时间=2ms TTL=64
来自 172.16.66.1 的回复: 字节=32 时间=2ms TTL=64
来自 172.16.66.1 的回复: 字节=32 时间=226ms TTL=64
来自 172.16.66.1 的回复: 字节=32 时间=188ms TTL=64
来自 172.16.66.1 的回复: 字节=32 时间=272ms TTL=64
来自 172.16.66.1 的回复: 字节=32 时间=4ms TTL=64
来自 172.16.66.1 的回复: 字节=32 时间=3ms TTL=64
来自 172.16.66.1 的回复: 字节=32 时间=2ms TTL=64
来自 172.16.66.1 的回复: 字节=32 时间=3ms TTL=64
来自 172.16.66.1 的回复: 字节=32 时间=2ms TTL=64
来自 172.16.66.1 的回复: 字节=32 时间=4ms TTL=64
来自 172.16.66.1 的回复: 字节=32 时间=3ms TTL=64
来自 172.16.66.1 的回复: 字节=32 时间=238ms TTL=64
来自 172.16.66.1 的回复: 字节=32 时间=202ms TTL=64
来自 172.16.66.1 的回复: 字节=32 时间=277ms TTL=64
来自 172.16.66.1 的回复: 字节=32 时间=4ms TTL=64
来自 172.16.66.1 的回复: 字节=32 时间=4ms TTL=64
来自 172.16.66.1 的回复: 字节=32 时间=3ms TTL=64
来自 172.16.66.1 的回复: 字节=32 时间=3ms TTL=64
来自 172.16.66.1 的回复: 字节=32 时间=2ms TTL=64
来自 172.16.66.1 的回复: 字节=32 时间=2ms TTL=64
来自 172.16.66.1 的回复: 字节=32 时间=3ms TTL=64
来自 172.16.66.1 的回复: 字节=32 时间=245ms TTL=64
来自 172.16.66.1 的回复: 字节=32 时间=207ms TTL=64
来自 172.16.66.1 的回复: 字节=32 时间=289ms TTL=64
来自 172.16.66.1 的回复: 字节=32 时间=3ms TTL=64
来自 172.16.66.1 的回复: 字节=32 时间=3ms TTL=64
来自 172.16.66.1 的回复: 字节=32 时间=2ms TTL=64
来自 172.16.66.1 的回复: 字节=32 时间=3ms TTL=64
来自 172.16.66.1 的回复: 字节=32 时间=3ms TTL=64
来自 172.16.66.1 的回复: 字节=32 时间=3ms TTL=64
来自 172.16.66.1 的回复: 字节=32 时间=3ms TTL=64
来自 172.16.66.1 的回复: 字节=32 时间=259ms TTL=64
来自 172.16.66.1 的回复: 字节=32 时间=221ms TTL=64
来自 172.16.66.1 的回复: 字节=32 时间=302ms TTL=64
来自 172.16.66.1 的回复: 字节=32 时间=3ms TTL=64
来自 172.16.66.1 的回复: 字节=32 时间=3ms TTL=64
来自 172.16.66.1 的回复: 字节=32 时间=3ms TTL=64
来自 172.16.66.1 的回复: 字节=32 时间=5ms TTL=64
来自 172.16.66.1 的回复: 字节=32 时间=3ms TTL=64
来自 172.16.66.1 的回复: 字节=32 时间=3ms TTL=64
来自 172.16.66.1 的回复: 字节=32 时间=3ms TTL=64
来自 172.16.66.1 的回复: 字节=32 时间=249ms TTL=64

172.16.66.1 的 Ping 统计信息:
    数据包: 已发送 = 49，已接收 = 49，丢失 = 0 (0% 丢失)，
往返行程的估计时间(以毫秒为单位):
    最短 = 2ms，最长 = 302ms，平均 = 72ms
